סמל ישוב,סמל קלפי,בוחרים,מצביעים,פסולים,כשרים,שם ישוב,אמת,ב,ג,ד,ו,ז,זך,זנ,ט,יש,כן,ל,ם,מחל,מרצ,נ,נץ,עם,ף,פה,צ,צף,ק,קך,קנ,קץ,רק,שס
9100,40,717,458,10,448,נהריה,65,12,0,2,1,0,0,0,0,75,11,24,10,195,21,0,3,0,0,0,0,0,1,0,6,0,2,20
9100,50,696,453,6,447,נהריה,102,8,0,0,4,0,0,0,0,111,2,18,4,132,33,0,3,0,0,0,0,0,0,0,11,0,3,16
9100,60,671,337,13,324,נהריה,25,4,2,0,0,0,0,0,2,64,34,52,5,109,3,0,0,1,1,1,0,1,1,0,4,1,0,14
9100,70,527,318,8,310,נהריה,44,1,0,0,0,0,0,1,0,45,13,19,15,127,10,0,3,0,0,0,0,0,1,0,5,0,2,24
9100,110,695,425,6,419,נהריה,19,9,2,0,0,0,0,1,0,32,29,48,7,188,7,0,7,2,0,0,1,0,0,0,7,0,1,59
9100,120,668,396,9,387,נהריה,20,5,4,1,0,0,0,1,0,57,14,22,22,147,7,1,2,0,1,0,1,0,0,0,1,0,1,80
9100,130,647,385,15,370,נהריה,15,4,2,0,0,0,0,3,0,32,30,34,20,137,2,0,5,0,1,1,1,0,0,0,3,1,0,79
9100,140,724,428,5,423,נהריה,47,8,4,0,0,0,0,1,0,39,27,38,8,173,16,0,2,0,0,0,0,0,0,1,7,0,1,51
9100,150,531,325,10,315,נהריה,13,6,5,2,1,0,0,3,0,33,8,25,11,138,6,0,4,0,1,5,0,0,0,1,5,2,0,46
9100,160,652,427,9,418,נהריה,17,17,8,0,0,0,0,1,2,36,16,41,23,182,7,1,9,0,0,4,0,0,0,0,2,0,1,51
9100,180,701,407,20,387,נהריה,13,6,6,0,0,0,0,1,0,25,33,51,2,160,8,2,2,0,0,0,0,0,0,0,3,0,0,75
9100,190,678,418,8,410,נהריה,41,14,9,1,0,0,0,1,0,39,11,40,7,170,6,0,8,0,1,0,0,0,0,2,2,0,2,56
9100,200,676,426,16,410,נהריה,37,11,6,0,0,0,0,3,0,50,41,54,11,150,3,1,0,0,0,3,0,0,1,2,3,1,2,31
9100,210,658,383,11,372,נהריה,44,11,4,0,0,0,0,2,0,38,26,41,4,155,7,1,4,2,1,0,0,1,1,1,2,0,0,27
9100,220,567,337,16,321,נהריה,9,7,7,0,0,0,0,3,0,38,15,48,10,128,4,0,2,2,0,2,0,0,0,1,5,0,0,40
9100,230,780,420,13,407,נהריה,14,5,9,0,1,0,0,1,0,36,13,46,8,187,1,0,4,0,1,0,0,0,0,0,3,0,1,77
9100,240,557,352,4,348,נהריה,10,20,18,0,0,0,0,1,0,14,5,27,9,160,0,1,5,0,0,0,0,0,0,0,7,1,0,70
9100,300,522,352,3,349,נהריה,25,10,0,1,2,0,0,2,0,54,8,38,5,150,15,1,4,0,0,0,0,0,0,1,0,0,0,33
9100,310,632,398,7,391,נהריה,42,27,3,0,0,2,0,0,0,36,0,9,20,206,5,0,2,0,0,0,0,0,0,0,5,0,1,33
